epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,8299.04,0.88198,0.71351,1.04534,0.62112,0.94174,0.64179,0.38245,1.34188,14.1825,1.41058,0.004951,0.004951,0.004951
104,8375.3,0.87604,0.70327,1.04186,0.61963,0.94583,0.64098,0.38304,1.34271,14.1666,1.41111,0.0049015,0.0049015,0.0049015
105,8451.64,0.88171,0.71118,1.04925,0.61918,0.94336,0.64176,0.38318,1.3423,14.1615,1.41139,0.004852,0.004852,0.004852
106,8527.73,0.87908,0.7197,1.04648,0.61964,0.94083,0.64113,0.38292,1.34383,14.1586,1.41353,0.0048025,0.0048025,0.0048025
107,8603.77,0.86695,0.69767,1.03394,0.61987,0.94334,0.6406,0.38167,1.34464,14.1495,1.41381,0.004753,0.004753,0.004753
108,8680.77,0.86899,0.70635,1.03975,0.62001,0.94325,0.6401,0.3801,1.34621,14.141,1.41552,0.0047035,0.0047035,0.0047035
109,8757.11,0.86297,0.69951,1.03742,0.61907,0.94216,0.64236,0.38266,1.34603,14.1319,1.41568,0.004654,0.004654,0.004654
110,8833.59,0.85455,0.70119,1.03533,0.6192,0.9421,0.64065,0.38158,1.34652,14.12,1.41647,0.0046045,0.0046045,0.0046045
111,8910.15,0.85305,0.69324,1.03536,0.61964,0.94609,0.64087,0.38168,1.3478,14.1217,1.41782,0.004555,0.004555,0.004555
112,8986.65,0.8562,0.69991,1.03253,0.61897,0.94876,0.64056,0.38213,1.34791,14.126,1.4184,0.0045055,0.0045055,0.0045055
113,9063.7,0.85502,0.68939,1.03271,0.6183,0.9478,0.64141,0.38152,1.34881,14.152,1.41943,0.004456,0.004456,0.004456
114,9141.14,0.84635,0.68647,1.03196,0.6192,0.94764,0.64231,0.38264,1.34959,14.1505,1.42033,0.0044065,0.0044065,0.0044065
115,9218.01,0.84257,0.68868,1.02886,0.6188,0.94872,0.64213,0.38157,1.34982,14.1527,1.42149,0.004357,0.004357,0.004357
116,9295.3,0.83366,0.68584,1.0232,0.61871,0.94679,0.64212,0.38244,1.34956,14.1527,1.42097,0.0043075,0.0043075,0.0043075
117,9372.83,0.83066,0.685,1.01935,0.61841,0.9478,0.6428,0.38255,1.34922,14.1473,1.42128,0.004258,0.004258,0.004258
118,9450.22,0.8307,0.68188,1.02232,0.61809,0.9478,0.64125,0.38233,1.34941,14.149,1.4221,0.0042085,0.0042085,0.0042085
119,9527.09,0.8263,0.68698,1.0244,0.61866,0.94864,0.64075,0.38125,1.34944,14.1488,1.42268,0.004159,0.004159,0.004159
120,9603.9,0.82807,0.67312,1.02418,0.61861,0.9487,0.6435,0.38207,1.34972,14.1612,1.42343,0.0041095,0.0041095,0.0041095
121,9680.88,0.81825,0.68332,1.0174,0.61862,0.94657,0.64121,0.38087,1.35022,14.1651,1.42457,0.00406,0.00406,0.00406
122,9757.99,0.82043,0.68443,1.01637,0.61851,0.94882,0.63997,0.38058,1.35013,14.1602,1.42445,0.0040105,0.0040105,0.0040105
123,9834.06,0.8165,0.68062,1.01523,0.61857,0.94866,0.64428,0.38364,1.34996,14.1698,1.42491,0.003961,0.003961,0.003961
124,9910.26,0.80897,0.66666,1.0119,0.61867,0.95054,0.64263,0.3829,1.34956,14.166,1.425,0.0039115,0.0039115,0.0039115
