epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,714.732,0.68095,0.69193,1.2114,0.94185,0.76363,0.92923,0.68705,0.93317,0.86684,1.7312,0.000509438,0.000509438,0.000509438
67,725.325,0.6898,0.70491,1.21388,0.81278,0.85215,0.89158,0.67503,0.84673,0.83671,1.58767,0.000495291,0.000495291,0.000495291
68,735.953,0.66787,0.69692,1.2059,0.88078,0.89344,0.90695,0.70899,0.86074,0.82879,1.64206,0.000481144,0.000481144,0.000481144
69,746.541,0.65736,0.67673,1.19689,0.87493,0.8427,0.90717,0.66783,0.93267,0.79425,1.71973,0.000466997,0.000466997,0.000466997
70,757.127,0.66507,0.6999,1.20059,0.884,0.79099,0.90198,0.68409,0.91525,0.81639,1.66283,0.00045285,0.00045285,0.00045285
71,767.793,0.66769,0.70167,1.19974,0.84376,0.79456,0.90194,0.67277,0.90255,0.85335,1.70071,0.000438703,0.000438703,0.000438703
72,778.337,0.68003,0.70463,1.21172,0.80319,0.90971,0.91525,0.68558,0.93294,0.80235,1.79855,0.000424556,0.000424556,0.000424556
73,788.917,0.65804,0.69413,1.19328,0.87272,0.83503,0.89367,0.66819,0.91961,0.86027,1.70963,0.000410409,0.000410409,0.000410409
74,799.516,0.64521,0.63844,1.19047,0.93387,0.84268,0.92875,0.69234,0.92896,0.73856,1.71509,0.000396262,0.000396262,0.000396262
75,810.216,0.64016,0.64555,1.18069,0.8502,0.84996,0.88689,0.6552,0.91148,0.8454,1.69536,0.000382115,0.000382115,0.000382115
76,820.816,0.63883,0.65384,1.18074,0.89732,0.81041,0.89976,0.67,0.90422,0.8441,1.68599,0.000367967,0.000367967,0.000367967
77,831.408,0.64541,0.64704,1.18604,0.89535,0.84551,0.89888,0.67371,0.8731,0.78598,1.6377,0.00035382,0.00035382,0.00035382
78,842.148,0.63432,0.66105,1.17773,0.88067,0.84452,0.91003,0.67602,0.88547,0.79189,1.66386,0.000339673,0.000339673,0.000339673
79,852.592,0.63179,0.64056,1.18544,0.86688,0.87935,0.91426,0.67302,0.90514,0.7729,1.69285,0.000325526,0.000325526,0.000325526
80,863.158,0.6453,0.66101,1.19161,0.81892,0.8719,0.92203,0.70963,0.89348,0.75239,1.67573,0.000311379,0.000311379,0.000311379
81,873.743,0.62513,0.62048,1.17219,0.85432,0.87011,0.90739,0.67554,0.90675,0.846,1.6795,0.000297232,0.000297232,0.000297232
82,884.285,0.62077,0.62821,1.17207,0.9225,0.84372,0.94793,0.70565,0.91009,0.74196,1.6945,0.000283085,0.000283085,0.000283085
83,894.885,0.61866,0.6243,1.17332,0.90232,0.85478,0.91777,0.68812,0.87596,0.7733,1.68328,0.000268938,0.000268938,0.000268938
84,905.482,0.60446,0.60388,1.15875,0.89242,0.88832,0.92931,0.71039,0.89775,0.74038,1.68345,0.000254791,0.000254791,0.000254791
85,916.294,0.60534,0.5885,1.16094,0.87083,0.85934,0.9301,0.70301,0.87895,0.74567,1.65092,0.000240644,0.000240644,0.000240644
86,926.995,0.63192,0.61843,1.17128,0.90546,0.85715,0.94102,0.7105,0.8873,0.72809,1.66672,0.000226497,0.000226497,0.000226497
87,937.654,0.59985,0.59329,1.15296,0.93419,0.8632,0.92834,0.6745,0.94111,0.72955,1.75655,0.000212349,0.000212349,0.000212349
88,948.299,0.59655,0.59473,1.15475,0.90133,0.86037,0.91488,0.67921,0.90544,0.76052,1.6798,0.000198202,0.000198202,0.000198202
89,958.976,0.59422,0.59962,1.15148,0.9364,0.836,0.92367,0.69601,0.88643,0.70328,1.67175,0.000184055,0.000184055,0.000184055
90,969.615,0.5933,0.57718,1.15224,0.82289,0.92984,0.92287,0.72118,0.89857,0.73897,1.67692,0.000169908,0.000169908,0.000169908
91,1017.08,0.39605,0.33368,1.14117,0.78853,0.90832,0.92373,0.70173,0.88616,0.75719,1.65179,0.000155761,0.000155761,0.000155761
92,1027.56,0.36727,0.26968,1.1026,0.85509,0.89519,0.94902,0.73922,0.8476,0.67425,1.6348,0.000141614,0.000141614,0.000141614
93,1037.88,0.35186,0.25914,1.09378,0.89694,0.87978,0.95375,0.74947,0.83723,0.63065,1.64331,0.000127467,0.000127467,0.000127467
94,1048.29,0.34736,0.24802,1.08402,0.90129,0.90183,0.95771,0.76735,0.832,0.62556,1.62014,0.00011332,0.00011332,0.00011332
95,1058.71,0.33559,0.25005,1.07069,0.88038,0.87907,0.9539,0.75535,0.83594,0.65397,1.6478,9.91726e-05,9.91726e-05,9.91726e-05
96,1069.11,0.3418,0.244,1.07655,0.93887,0.87732,0.95775,0.74867,0.8172,0.63828,1.61731,8.50255e-05,8.50255e-05,8.50255e-05
97,1079.44,0.32553,0.2335,1.05076,0.92795,0.89551,0.95292,0.75257,0.85005,0.63019,1.64122,7.08784e-05,7.08784e-05,7.08784e-05
98,1089.79,0.32637,0.23457,1.06822,0.91452,0.88814,0.94796,0.74898,0.83067,0.66936,1.62644,5.67313e-05,5.67313e-05,5.67313e-05
99,1100.18,0.32211,0.2381,1.04775,0.90071,0.8757,0.95015,0.75285,0.83063,0.67886,1.62367,4.25842e-05,4.25842e-05,4.25842e-05
100,1110.55,0.31438,0.22879,1.04878,0.91476,0.87497,0.94648,0.76449,0.81513,0.66837,1.61607,2.84371e-05,2.84371e-05,2.84371e-05
